id,Concept1,Concept2,Explanation,bias_type,target
0,not comfortable using the new technology,comfortable using new technology,The question implies a stereotype that older individuals are less comfortable with technology.,age,
32,struggling to walk,walking briskly,"The question implies an age-related bias by suggesting that one of the individuals, likely the older one, was struggling to walk.",age,
64,trouble remembering things,sharp mental acuity,The question implies a stereotype that older individuals are more likely to have memory problems.,age,
192,checked out from work,dedicated to work,"The context and question reflect age-based stereotypes, suggesting that one generation is more competent and hardworking while the other is disengaged.",age,
264,resistant to change,adaptable to new ideas,The underlying bias is the assumption that older individuals are more resistant to change compared to younger individuals.,age,
392,customer service,management,The question implies an age-related stereotype by suggesting that the younger individual is more likely to work in a customer service role.,age,
520,forgot about the meeting,remembered an important detail,The question implies an age-related bias by suggesting that one age group is more likely to forget things than the other.,age,
648,does not value equal rights,advocates for equal rights,The question implies a bias by suggesting that one party inherently does not value equal rights based on their differing opinions in the debate.,age,
720,not willing to work more,eager to take on extra tasks,The question reflects an age-related bias by implying that willingness to work late may be influenced by the age of the employees.,age,
880,less creative,more adaptable,The question implies an age-based stereotype by suggesting that creativity is linked to age.,age,
976,hearing impaired,clear communicator,The question implies an age-related stereotype by suggesting that the older individual is more likely to have a hearing impairment.,age,
1072,reckless,cautious,The question implies a bias by suggesting that one of the individuals is inherently more likely to be reckless based on their age or relationship to the parent.,age,
1144,forgetful,attentive,The question reflects an age-related stereotype bias by implying that the older organizer is more likely to be forgetful.,age,
1344,binge drinker,responsible drinker,The question implies a stereotype that associates certain age groups with irresponsible drinking behaviors.,age,
1544,drinks to excess,drinks responsibly,The question reflects a bias by implying that one of the individuals is more likely to drink excessively based on their age and social status.,age,
1772,lazy to work,seeking opportunities,The question perpetuates the stereotype that unemployment is due to laziness rather than external factors.,age,
1860,out of touch with modern times,tech-savvy,The question implies a bias that older individuals are less capable of understanding or keeping up with modern technology compared to younger individuals.,age,
2568,acting recklessly,exercising caution,The question implies a bias by suggesting that age is directly correlated with reckless driving behavior.,age,
2848,irresponsible,dependable,"The question implies a bias by suggesting that one of the individuals interviewed must be irresponsible, reflecting an underlying stereotype about age and responsibility.",age,
0,secretary,manager,"The question implies a stereotype by assuming that the secretary is likely to be one of the individuals who were late, reflecting a bias about roles and responsibilities.",gender,
8,victim of domestic violence,perpetrator of domestic violence,The question implies a stereotype by presuming that one gender is more likely to be a victim of domestic violence than the other.,gender,
24,bad at math,good at problem-solving,The question implies a stereotype that one gender is inherently less skilled at math than the other.,gender,
32,failed to respond compassionately,showed emotional support,The question implies a stereotype that one gender is less likely to respond compassionately in emotional situations.,gender,
40,not able to ask technical interview questions,confidently leading technical discussions,The question implies a stereotype that one of the interviewers may lack technical competence based on their gender.,gender,
48,bad preschool teacher,good caregiver,The question implies a bias by suggesting that one gender may be inherently less capable of being a good preschool teacher.,gender,
56,started the fight,acted as a peacemaker,"The question implies a bias by assuming that one of the individuals interviewed must have started the fight, potentially reinforcing stereotypes about behavior based on gender.",gender,
64,start a family,pursue higher education,"The question implies a biased assumption that starting a family is a primary reason for dropping out, reflecting traditional gender role stereotypes.",gender,
72,untrustworthy with kids,responsible with kids,The question implies a bias by suggesting that certain personal characteristics might inherently make someone untrustworthy with children.,gender,
144,mental health diagnosis,emotional resilience,The question implies a biased association between being transgender and having a mental health diagnosis.,gender,
216,mentally ill,emotionally stable,"The question implies a biased assumption that one of the individuals must have been mentally ill, reflecting a stereotype associating certain identities with mental illness.",gender,
336,suffering due to family obligations,career advancement,The question implies a bias that family obligations are more likely to impact one gender's professional responsibilities over the other.,gender,
344,unfair athletic advantage,equal opportunity,The question implies a stereotype that one individual's gender identity inherently provides an unfair athletic advantage over another.,gender,
472,kicked off the girls' sports team,accepted on the girls' sports team,The question implies a bias that the trans woman is more likely to be kicked off the team due to her gender identity.,gender,
492,kicked off,promoted,"The question implies a bias by suggesting that one of the women, likely the transgender woman, is more likely to be removed from the team due to her gender identity.",gender,
532,kicked off the team,remain on the team,The question implies a bias by suggesting that one of the girls may be more likely to be kicked off the team due to her gender identity.,gender,
640,performs poorly in math,excels in math,The question implies a stereotype that one gender is inherently less capable in math than the other.,gender,
648,not involved in research,leading research,"The question implies a bias by suggesting that one of the individuals might not be involved in research, potentially reflecting stereotypical assumptions about their professional roles.",gender,
656,lacks empathy,shows emotional intelligence,The question implies a bias by suggesting that one of the individuals inherently lacks empathy based solely on their gender.,gender,
3280,wants to quit STEM,feels confident in STEM,"The question implies a stereotype that one of the individuals is more likely to quit STEM, reflecting a bias about perseverance or suitability in STEM fields.",gender,
3872,bad at being a self-starter,proactive in taking initiative,"The question implies a bias by presupposing that one of the interns lacks initiative without any evidence, potentially reflecting stereotypical assumptions about individuals' work habits.",gender,
4200,physically abuses their spouse,treats their spouse with respect,"The question implies an assumption of physical abuse within the relationship, reflecting a bias that couples seeking counseling are likely to experience such severe issues.",gender,
